Cell	cell_type
A1_B002014.gencode.vH29	Capillary Aerocyte
A1_B003138.gencode.vH29	Capillary Aerocyte
A1_B003140.gencode.vH29	Capillary Intermediate 1
A10_B003138.gencode.vH29	Capillary Intermediate 1
A12_B003141.gencode.vH29	Capillary Aerocyte
A13_B002383.gencode.vH29	Capillary Intermediate 1
A14_B003137.gencode.vH29	Capillary Aerocyte
A17_B002014.gencode.vH29	Capillary Aerocyte
A17_B003138.gencode.vH29	Capillary Aerocyte
A18_B002383.gencode.vH29	Capillary Aerocyte
A2_B002383.gencode.vH29	Artery
A5_B003136.gencode.vH29	Capillary Aerocyte
A6_B002383.gencode.vH29	Capillary Intermediate 1
B12_B002014.gencode.vH29	Capillary Intermediate 1
B13_B002383.gencode.vH29	Capillary Intermediate 1
B16_B002014.gencode.vH29	Capillary Aerocyte
B19_B002014.gencode.vH29	Capillary Intermediate 1
B2_B002382.gencode.vH29	Capillary
B3_B002382.gencode.vH29	Capillary Aerocyte
B3_B002383.gencode.vH29	Capillary
B4_B003138.gencode.vH29	Capillary Intermediate 1
B4_B003140.gencode.vH29	Capillary Intermediate 1
B5_B003135.gencode.vH29	Capillary Aerocyte
B6_B003138.gencode.vH29	Capillary Aerocyte
B7_B003142.gencode.vH29	Capillary Aerocyte
B8_B002382.gencode.vH29	Capillary Aerocyte
B8_B003141.gencode.vH29	Capillary Aerocyte
B9_B003140.gencode.vH29	Capillary Aerocyte
C1_B003141.gencode.vH29	Capillary Aerocyte
C13_B003136.gencode.vH29	Capillary Aerocyte
C14_B002014.gencode.vH29	Capillary Aerocyte
C17_B002014.gencode.vH29	Capillary Aerocyte
C18_B003139.gencode.vH29	Capillary Aerocyte
C8_B003140.gencode.vH29	Capillary Aerocyte
C9_B003141.gencode.vH29	Capillary
D1_B002382.gencode.vH29	Capillary Aerocyte
D1_B003137.gencode.vH29	Capillary Aerocyte
D1_B003141.gencode.vH29	Capillary Aerocyte
D10_B003136.gencode.vH29	Capillary Aerocyte
D10_B003139.gencode.vH29	Capillary Intermediate 1
D12_B002014.gencode.vH29	Capillary Intermediate 1
D12_B002383.gencode.vH29	Capillary Aerocyte
D13_B003139.gencode.vH29	Capillary Intermediate 1
D14_B002014.gencode.vH29	Capillary Aerocyte
D17_B003137.gencode.vH29	Capillary Aerocyte
D20_B003140.gencode.vH29	Capillary Aerocyte
D3_B003139.gencode.vH29	Capillary Aerocyte
D4_B002014.gencode.vH29	Capillary Aerocyte
D4_B003138.gencode.vH29	Capillary Aerocyte
D6_B002014.gencode.vH29	Capillary Aerocyte
D6_B003141.gencode.vH29	Capillary Intermediate 1
D8_B003139.gencode.vH29	Capillary Intermediate 1
E1_B002383.gencode.vH29	Capillary Intermediate 1
E1_B003138.gencode.vH29	Capillary Intermediate 1
E11_B002014.gencode.vH29	Capillary Intermediate 1
E12_B002382.gencode.vH29	Vein
E12_B003138.gencode.vH29	Capillary Intermediate 1
E13_B002014.gencode.vH29	Capillary Intermediate 1
E14_B003139.gencode.vH29	Capillary Aerocyte
E17_B003139.gencode.vH29	Capillary Aerocyte
E18_B003138.gencode.vH29	Capillary Aerocyte
E19_B003139.gencode.vH29	Capillary Aerocyte
E20_B002383.gencode.vH29	Capillary Aerocyte
E3_B002382.gencode.vH29	Capillary Intermediate 1
E3_B002383.gencode.vH29	Capillary Aerocyte
E5_B003140.gencode.vH29	Capillary Aerocyte
E6_B002383.gencode.vH29	Capillary Intermediate 1
E7_B002383.gencode.vH29	Capillary Intermediate 1
E7_B002385.gencode.vH29	Capillary Intermediate 1
E8_B003136.gencode.vH29	Capillary Intermediate 1
F10_B003141.gencode.vH29	Capillary Aerocyte
F11_B002383.gencode.vH29	Capillary Aerocyte
F11_B003139.gencode.vH29	Capillary Aerocyte
F13_B003139.gencode.vH29	Capillary Intermediate 1
F15_B002383.gencode.vH29	Capillary Aerocyte
F17_B003138.gencode.vH29	Capillary Aerocyte
F18_B003138.gencode.vH29	Capillary Intermediate 1
F19_B002382.gencode.vH29	Capillary Intermediate 1
F4_B002385.gencode.vH29	Capillary Intermediate 1
F4_B003138.gencode.vH29	Capillary Intermediate 1
F6_B003139.gencode.vH29	Capillary Intermediate 1
F8_B002382.gencode.vH29	Capillary Aerocyte
F8_B002383.gencode.vH29	Capillary Intermediate 1
F8_B002386.gencode.vH29	Capillary Intermediate 1
F9_B003138.gencode.vH29	Capillary Intermediate 1
G14_B002383.gencode.vH29	Capillary Aerocyte
G15_B002383.gencode.vH29	Capillary Aerocyte
G15_B003139.gencode.vH29	Capillary Aerocyte
G17_B003139.gencode.vH29	Capillary Aerocyte
G18_B003138.gencode.vH29	Capillary Intermediate 1
G2_B003138.gencode.vH29	Capillary Intermediate 1
G20_B003138.gencode.vH29	Capillary Aerocyte
G3_B002383.gencode.vH29	Capillary Aerocyte
G6_B002385.gencode.vH29	Capillary Aerocyte
G7_B002383.gencode.vH29	Capillary Aerocyte
G7_B003138.gencode.vH29	Capillary Intermediate 1
G7_B003139.gencode.vH29	Capillary Intermediate 1
G9_B003137.gencode.vH29	Capillary Intermediate 1
H1_B003138.gencode.vH29	Capillary Intermediate 1
H11_B003141.gencode.vH29	Capillary Aerocyte
H13_B002386.gencode.vH29	Capillary Aerocyte
H13_B003140.gencode.vH29	Capillary Aerocyte
H14_B003139.gencode.vH29	Capillary Aerocyte
H16_B003138.gencode.vH29	Capillary Aerocyte
H17_B002383.gencode.vH29	Capillary Aerocyte
H18_B002383.gencode.vH29	Capillary Aerocyte
H19_B002014.gencode.vH29	Capillary Aerocyte
H2_B002382.gencode.vH29	Capillary Aerocyte
H20_B003140.gencode.vH29	Capillary Aerocyte
H4_B003139.gencode.vH29	Capillary Aerocyte
H5_B003136.gencode.vH29	Capillary Aerocyte
H6_B003136.gencode.vH29	Capillary Aerocyte
H6_B003138.gencode.vH29	Capillary Aerocyte
H6_B003142.gencode.vH29	Capillary Aerocyte
H9_B002383.gencode.vH29	Capillary Intermediate 1
I10_B002385.gencode.vH29	Capillary Intermediate 1
I11_B003139.gencode.vH29	Capillary Aerocyte
I11_B003142.gencode.vH29	Capillary Aerocyte
I14_B002014.gencode.vH29	Capillary Aerocyte
I14_B003139.gencode.vH29	Capillary Aerocyte
I15_B002383.gencode.vH29	Capillary Intermediate 1
I16_B003139.gencode.vH29	Capillary Aerocyte
I19_B002014.gencode.vH29	Capillary Aerocyte
I19_B003139.gencode.vH29	Capillary Aerocyte
I2_B002385.gencode.vH29	Capillary Aerocyte
I20_B002383.gencode.vH29	Capillary Aerocyte
I20_B003138.gencode.vH29	Capillary Intermediate 1
I4_B003135.gencode.vH29	Capillary Aerocyte
I4_B003140.gencode.vH29	Capillary Intermediate 1
I8_B002385.gencode.vH29	Capillary Intermediate 1
I9_B003136.gencode.vH29	Capillary Aerocyte
I9_B003138.gencode.vH29	Capillary Aerocyte
J10_B002383.gencode.vH29	Capillary Aerocyte
J11_B003142.gencode.vH29	Capillary Aerocyte
J13_B002385.gencode.vH29	Capillary Aerocyte
J13_B002386.gencode.vH29	Capillary
J14_B002383.gencode.vH29	Capillary Intermediate 1
J14_B003138.gencode.vH29	Capillary Aerocyte
J17_B003138.gencode.vH29	Capillary Aerocyte
J17_B003139.gencode.vH29	Capillary Aerocyte
J18_B003138.gencode.vH29	Capillary Intermediate 1
J2_B003139.gencode.vH29	Artery
J20_B003139.gencode.vH29	Capillary Aerocyte
J7_B003139.gencode.vH29	Capillary Aerocyte
J8_B003141.gencode.vH29	Capillary Intermediate 1
J9_B002382.gencode.vH29	Capillary Intermediate 1
J9_B003140.gencode.vH29	Capillary Aerocyte
K10_B003137.gencode.vH29	Capillary Aerocyte
K11_B003139.gencode.vH29	Capillary Intermediate 1
K11_B003140.gencode.vH29	Capillary Aerocyte
K14_B002383.gencode.vH29	Capillary Aerocyte
K15_B002383.gencode.vH29	Capillary Aerocyte
K16_B002014.gencode.vH29	Capillary Aerocyte
K17_B003139.gencode.vH29	Capillary Intermediate 1
K18_B003138.gencode.vH29	Capillary Aerocyte
K19_B002383.gencode.vH29	Capillary Aerocyte
K19_B003139.gencode.vH29	Capillary Aerocyte
K2_B002383.gencode.vH29	Capillary Aerocyte
K2_B003136.gencode.vH29	Capillary Intermediate 1
K20_B002383.gencode.vH29	Capillary Aerocyte
K20_B003139.gencode.vH29	Capillary Aerocyte
K3_B002014.gencode.vH29	Capillary Aerocyte
K5_B002382.gencode.vH29	Capillary Intermediate 1
K5_B003137.gencode.vH29	Capillary Aerocyte
K5_B003141.gencode.vH29	Capillary Aerocyte
K6_B002383.gencode.vH29	Capillary Aerocyte
K6_B003141.gencode.vH29	Capillary Aerocyte
K8_B002383.gencode.vH29	Capillary Aerocyte
K9_B003136.gencode.vH29	Capillary Aerocyte
K9_B003142.gencode.vH29	Capillary Intermediate 1
