gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Adventitial Fibroblast	Airway Smooth Muscle	Alveolar Epithelial Type 1	Alveolar Epithelial Type 2	Alveolar Fibroblast	Artery	B	Basal	Basophil/Mast 1	Bronchial Vessel 1	CD4+ Memory/Effector T	CD4+ Naive T	CD8+ Memory/Effector T	CD8+ Naive T	Capillary	Capillary Aerocyte	Capillary Intermediate 1	Ciliated	Classical Monocyte	Club	Dendritic	Differentiating Basal	Fibromyocyte	Goblet	IGSF21+ Dendritic	Intermediate Monocyte	Ionocyte	Lipofibroblast	Lymphatic	Macrophage	Myeloid Dendritic Type 2	Myofibroblast	Natural Killer	Natural Killer T	Neuroendocrine	Neutrophil	Nonclassical Monocyte	Pericyte	Plasma	Plasmacytoid Dendritic	Proliferating NK/T	Signaling Alveolar Epithelial Type 2	Vascular Smooth Muscle	Vein
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0A7B487D4	0.0	0.0	49.981	0.007	0.0	0.0	0.0	2.346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	1.871	0.0	17.651	0.0	3.845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	21.491	0.0	0.0	0.0	0.0	0.0	0.0	2.592	0.0	0.0
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0FEC87269	0.0	0.0	49.981	0.007	0.0	0.0	0.0	2.346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	1.871	0.0	17.651	0.0	3.845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	21.491	0.0	0.0	0.0	0.0	0.0	0.0	2.592	0.0	0.0
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS028784FC6	0.127	0.0	0.078	0.233	0.006	0.022	0.155	0.008	0.0	0.0	0.0	0.0	0.034	0.032	0.532	2.256	0.625	0.227	0.0	0.385	4.9	0.0	0.0	0.215	2.375	0.5	0.0	0.0	0.0	0.562	0.571	0.0	0.266	0.019	0.0	0.0	0.259	0.006	0.0	0.077	0.0	0.02	0.0	0.381
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	32.734	30.113	74.442	53.524	16.517	34.88	0.0	65.183	5.783	76.028	0.0	0.595	0.0	0.55	55.967	32.098	59.205	14.523	7.425	26.316	2.4	8.907	0.133	38.451	0.0	8.667	0.0	65.05	137.341	49.188	0.286	1.942	3.334	0.0	10.055	0.788	1.852	15.008	0.0	8.615	0.0	30.637	19.131	81.714
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS044DF8749	0.0	0.0	49.981	0.007	0.0	0.0	0.0	2.346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	1.871	0.0	17.651	0.0	3.845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	21.491	0.0	0.0	0.0	0.0	0.0	0.0	2.592	0.0	0.0
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS072B19293	0.127	0.0	0.078	0.233	0.006	0.022	0.155	0.008	0.0	0.0	0.0	0.0	0.034	0.032	0.532	2.256	0.625	0.227	0.0	0.385	4.9	0.0	0.0	0.215	2.375	0.5	0.0	0.0	0.0	0.562	0.571	0.0	0.266	0.019	0.0	0.0	0.259	0.006	0.0	0.077	0.0	0.02	0.0	0.381
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0F8ABC300	0.0	0.0	1.059	0.924	0.0	0.0	0.0	0.0	39.891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.897	0.113	0.342	0.0	0.0	0.0	0.515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.123	0.0	0.0	0.0	0.0	1.708	0.0	0.0	0.0	0.0	0.0	0.0
GALR3	O60755	False	GALR3_HUMAN		CPI-SS0E70DD97F	0.0	0.0	0.0	0.087	0.0	0.0	0.0	0.008	0.0	1.708	0.0	0.0	0.0	1.796	0.001	0.072	0.0	0.265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.328	0.0	5.618	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	32.734	30.113	74.442	53.524	16.517	34.88	0.0	65.183	5.783	76.028	0.0	0.595	0.0	0.55	55.967	32.098	59.205	14.523	7.425	26.316	2.4	8.907	0.133	38.451	0.0	8.667	0.0	65.05	137.341	49.188	0.286	1.942	3.334	0.0	10.055	0.788	1.852	15.008	0.0	8.615	0.0	30.637	19.131	81.714
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	32.734	30.113	74.442	53.524	16.517	34.88	0.0	65.183	5.783	76.028	0.0	0.595	0.0	0.55	55.967	32.098	59.205	14.523	7.425	26.316	2.4	8.907	0.133	38.451	0.0	8.667	0.0	65.05	137.341	49.188	0.286	1.942	3.334	0.0	10.055	0.788	1.852	15.008	0.0	8.615	0.0	30.637	19.131	81.714
