Hormone,HGNC,MGI,Type,class
Adrenoceptors,ADRA1A,Adra1a,gpcr,aa
Adrenoceptors,ADRA1B,Adra1b,gpcr,aa
Adrenoceptors,ADRA1D,Adra1d,gpcr,aa
Adrenoceptors,ADRA2A,Adra2a,gpcr,aa
Adrenoceptors,ADRA2B,Adra2b,gpcr,aa
Adrenoceptors,ADRA2C,Adra2c,gpcr,aa
Adrenoceptors,ADRB1,Adrb1,gpcr,aa
Adrenoceptors,ADRB2,Adrb2,gpcr,aa
Adrenoceptors,ADRB3,Adrb3,gpcr,aa
Melatonin receptors,MTNR1A,Mtnr1a,gpcr,aa
Melatonin receptors,MTNR1B,Mtnr1b,gpcr,aa
Parathyroid hormone receptors,PTH1R,Pth1r,gpcr,aa
Parathyroid hormone receptors,PTH2R,Pth2r,gpcr,aa
Thyroid hormone receptors,NR1A1,Thra,nhr,aa
Thyroid hormone receptors,NR1A2,Thrb,nhr,aa
FSH receptor,FSHR,Fshr,gpcr,aa
LH receptor,LHCGR,Lhcgr,gpcr,aa
TSH receptor,TSHR,Tshr,gpcr,aa
Prostanoid receptors,PTGDR,Ptgdr,gpcr,eico
Prostanoid receptors,PTGDR2,Ptgdr2,gpcr,eico
Prostanoid receptors,PTGER1,Ptger1,gpcr,eico
Prostanoid receptors,PTGER2,Ptger2,gpcr,eico
Prostanoid receptors,PTGER3,Ptger3,gpcr,eico
Prostanoid receptors,PTGER4,Ptger4,gpcr,eico
Prostanoid receptors,PTGFR,Ptgfr,gpcr,eico
Prostanoid receptors,PTGIR,Ptgir,gpcr,eico
Prostanoid receptors,TBXA2R,Tbxa2r,gpcr,eico
Leukotriene receptors,LTB4R,Ltb4r,gpcr,eico
Leukotriene receptors,LTB4R2,Ltb4r2,gpcr,eico
Leukotriene receptors,CYSLTR1,Cysltr1,gpcr,eico
Leukotriene receptors,CYSLTR2,Cysltr2,gpcr,eico
Leukotriene receptors,OXER1,,gpcr,eico
Leukotriene receptors,FPR2,Fpr2,gpcr,eico
anti-Mullerian hormone receptor type 2,AMHR2,Amhr2,catalytic_receptor,peptide
Adiponectin receptors,ADIPOR1,Adipor1,other proteins,peptide
Adiponectin receptors,ADIPOR2,Adipor2,other proteins,peptide
Melanocortin receptors,MC1R,Mc1r,gpcr,peptide
Adrenocorticotropic hormone receptor,MC2R,Mc2r,gpcr,peptide
Melanocortin receptors,MC3R,Mc3r,gpcr,peptide
Melanocortin receptors,MC4R,Mc4r,gpcr,peptide
Melanocortin receptors,MC5R,Mc5r,gpcr,peptide
Angiotensin receptors,AGTR1,Agtr1a,gpcr,peptide
Angiotensin receptors,,Agtr1b,gpcr,peptide
Angiotensin receptors,AGTR2,Agtr2,gpcr,peptide
Vasopressin and oxytocin receptors,AVPR1A,Avpr1a,gpcr,peptide
Vasopressin and oxytocin receptors,AVPR1B,Avpr1b,gpcr,peptide
Vasopressin and oxytocin receptors,AVPR2,Avpr2,gpcr,peptide
OT receptor,OXTR,Oxtr,gpcr,peptide
Natriuretic peptide receptor family,NPR1,Npr1,catalytic_receptor,peptide
Natriuretic peptide receptor family,NPR2,Npr2,catalytic_receptor,peptide
Natriuretic peptide receptor family,GUCY2C,Gucy2c,catalytic_receptor,peptide
Natriuretic peptide receptor family,NPR3,Npr3,catalytic_receptor,peptide
Calcitonin receptors,CALCR,Calcr,gpcr,peptide
Calcitonin receptors,RAMP1,Ramp1,gpcr,peptide
Calcitonin receptors,RAMP2,Ramp2,gpcr,peptide
Calcitonin receptors,RAMP3,Ramp3,gpcr,peptide
Calcitonin receptors,CALCRL,Calcrl,gpcr,peptide
Cholecystokinin receptors,CCKAR,Cckar,gpcr,peptide
Cholecystokinin receptors,CCKBR,Cckbr,gpcr,peptide
Corticotropin-releasing factor receptors,CRHR1,Crhr1,gpcr,peptide
Corticotropin-releasing factor receptors,CRHR2,Crhr2,gpcr,peptide
Somatostatin receptors,SSTR1,Sstr1,gpcr,peptide
Somatostatin receptors,SSTR2,Sstr2,gpcr,peptide
Somatostatin receptors,SSTR3,Sstr3,gpcr,peptide
Somatostatin receptors,SSTR4,Sstr4,gpcr,peptide
Somatostatin receptors,SSTR5,Sstr5,gpcr,peptide
Opioid receptors,OPRD1,Oprd1,gpcr,peptide
Opioid receptors,OPRK1,Oprk1,gpcr,peptide
Opioid receptors,OPRM1,Oprm1,gpcr,peptide
Opioid receptors,OPRL1,Oprl1,gpcr,peptide
Endothelin receptors,EDNRA,Ednra,gpcr,peptide
Endothelin receptors,EDNRB,Ednrb,gpcr,peptide
Eythropoietin receptor,EPOR,Epor,catalytic_receptor,peptide
Galanin receptors,GALR1,Galr1,gpcr,peptide
Galanin receptors,GALR2,Galr2,gpcr,peptide
Galanin receptors,GALR3,Galr3,gpcr,peptide
ghrelin receptor,GHSR,Ghsr,gpcr,peptide
GHRH receptor,GHRHR,Ghrhr,gpcr,peptide
GIP receptor,GIPR,Gipr,gpcr,peptide
GLP-1 receptor,GLP1R,Glp1r,gpcr,peptide
GLP-2 receptor,GLP2R,Glp2r,gpcr,peptide
glucagon receptor,GCGR,Gcgr,gpcr,peptide
secretin receptor,SCTR,Sctr,gpcr,peptide
Gonadotrophin-releasing hormone receptors,GNRHR,Gnrhr,gpcr,peptide
Gonadotrophin-releasing hormone receptors,GNRHR2,,gpcr,peptide
Hepcidin receptor,IREG1,Slc40a1,transporter,peptide
Growth hormone receptor,GHR,Ghr,catalytic_receptor,peptide
Insulin receptor,INSR,Insr,catalytic_receptor,peptide
Insulin-like growth factor I receptor,IGF1R,Igf1r,catalytic_receptor,peptide
Insulin receptor-related receptor,INSRR,Insrr,catalytic_receptor,peptide
Leptin receptor,LEPR,Lepr,catalytic_receptor,peptide
Motilin receptor,MLNR,Mlnr,gpcr,peptide
Orexin receptors,HCRTR1,Hcrtr1,gpcr,peptide
Orexin receptors,HCRTR2,Hcrtr2,gpcr,peptide
Osteocalcin receptor,GPRC6A,Gprc6a,gpcr,peptide
Pancreatic polypeptide receptor,NPY4R,Npy4r,gpcr,peptide
Pancreatic polypeptide receptor,NPY6R,,gpcr,peptide
