name,entry_name,transmembrane,secretion,peripheral,integrin_interaction,secreted_highlight,secreted_desc,transporter,other,other_desc,tags,tags_description,tags_reason
P25106,ACKR3_HUMAN,True,False,False,False,False,,False,True,CoReceptor_Acts as coreceptor with CXCR4 for a restricted number of HIV isolates (uniprot),To_comment,CoReceptor_Acts as coreceptor with CXCR4 for a restricted number of HIV isolates (uniprot),Receptor_add
P06731,CEAM5_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Adhesion_add
P29323,EPHB2_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Adhesion_add
P31997,CEAM8_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Adhesion_add
P40199,CEAM6_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Adhesion_add
P54756,EPHA5_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Adhesion_add
P54760,EPHB4_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Adhesion_add
P57087,JAM2_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Adhesion_add
Q15375,EPHA7_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Adhesion_add
Q8N6Q3,CD177_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Adhesion_add
P54753,EPHB3_HUMAN,True,False,False,False,False,,False,False,,To_comment,Migration,Adhesion_add
P16471,PRLR_HUMAN,True,True,False,False,False,,False,False,,To_add,cytokine_receptor,
Q14627,I13R2_HUMAN,True,False,False,False,False,,False,False,,To_add,cytokine_receptor,
P16284,PECA1_HUMAN,True,False,False,False,False,,False,False,,,,
O75144,ICOSL_HUMAN,True,False,False,False,False,,False,False,,To_add|To_comment,Iglike,Extracellular_add
P13747,HLAE_HUMAN,True,False,False,False,False,,False,False,,To_add | To_comment,Iglike,Extracellular_add
P17693,HLAG_HUMAN,True,False,False,False,False,,False,True,,To_add | To_comment,Iglike,Extracellular_add | Receptor_add
P30511,HLAF_HUMAN,True,False,False,False,False,,False,True,HLA,To_add,Iglike,
P32942,ICAM3_HUMAN,True,False,False,False,False,,False,False,,To_add | To_comment,Iglike,Extracellular_add
P33681,CD80_HUMAN,True,False,False,False,False,,False,False,,To_add | To_comment,Iglike,Extracellular_add
P36888,FLT3_HUMAN,True,False,False,False,False,,False,False,,To_add | To_comment,Iglike,Extracellular_add
P59901,LIRA4_HUMAN,True,False,False,False,False,,False,False,,To_add,Iglike,
Q01973,ROR1_HUMAN,True,False,False,False,False,,False,False,,To_add,Iglike,
Q12866,MERTK_HUMAN,True,False,False,False,False,,False,False,,To_add,Iglike,
Q13332,PTPRS_HUMAN,True,False,False,False,False,,False,False,,To_add,Iglike,
Q15116,PDCD1_HUMAN,True,False,False,False,False,,False,False,,To_add | To_comment,Uniprot description,Iglike | Receptor | Extracellular_add
Q16288,NTRK3_HUMAN,True,False,False,False,False,,False,False,,To_add,Iglike,
Q8N423,LIRB2_HUMAN,True,False,False,False,False,,False,False,,To_add,Iglike,
Q8TDQ0,HAVR2_HUMAN,True,False,False,False,False,,False,False,,To_add | To_comment,Iglike. Cell surface receptor implicated in modulating innate and adaptive immune responses (uniprot),Receptor_add | Extracellular_add
Q9P1W8,SIRPG_HUMAN,True,False,False,False,False,,False,False,,To_add,Iglike,
P10747,CD28_HUMAN,True,False,False,False,False,,False,False,,To_add | To_comment,Iglike,Extracellular_add
P05362,ICAM1_HUMAN,True,False,False,False,False,,False,False,,To_add | To_comment,Iglike | ligandIUPHAR,
P13598,ICAM2_HUMAN,True,False,False,False,False,,False,False,,To_add | To_comment,Iglike | ligandIUPHAR,Extracellular_add
P19320,VCAM1_HUMAN,True,False,False,False,False,,False,False,,To_add | To_comment,Iglike | ligandIUPHAR,
O95727,CRTAM_HUMAN,True,False,False,False,False,,False,False,,To_add | To_comment,Iglike | Possible_receptor,Extracellular_add
P40200,TACT_HUMAN,True,False,False,False,False,,False,False,,To_add | To_comment,Iglike | Receptor_add,Receptor_add | Extracellular_add
P78324,SHPS1_HUMAN,True,False,False,False,False,,False,False,,To_add | To_comment,Iglike | Receptor_add,Receptor_add | Extracellular_add
P06729,CD2_HUMAN,True,False,False,False,False,,False,False,,To_add | To_comment,Iglike | Receptor_add,Receptor_add
Q13705,AVR2B_HUMAN,True,False,False,False,False,,False,False,,,IUPHAR,
O00175,CCL24_HUMAN,False,True,False,False,True,Cytokine,False,False,,,,
O00182,LEG9_HUMAN,False,True,True,False,True,Immune-related,False,False,,To_comment,Ligand for HAVCR2/TIM3 (uniprot),secretedhigh_add | peripheral_add
