Gene,PMID,Virus 1,Virus 2,Virus 3,Virus 4,Virus 5,Virus 6,Virus 7,Virus 8,Virus 9,Virus 10,Virus 11,Virus 12,Virus 13,Virus 14,Virus 15,Virus 16
LAMP1,24970085,Lassa virus,,,,,,,,,,,,,,,
ITGAV,24367260|18045938|20615244|7519807|11160695|23658209,Herpes simplex 1,Human herpesvirus 8,Adenovirus type C,Coxsackievirus A9,Human parechovirus 1,West nile virus,,,,,,,,,,
UVRAG,24550300|24550300,Influenza A virus,Vesicular stomatitis virus,,,,,,,,,,,,,,
WWP2,20333243,Adenovirus,,,,,,,,,,,,,,,
NPC1,25855742,Ebolavirus,,,,,,,,,,,,,,,
ITCH,11046148|26555021|29535361|20682038|29535361|29535361|27489272,Epstein-Barr virus,Human cytomegalovirus,Herpes simplex 1,Herpes simplex 2,Varicella-zoster virus,Human herpesvirus 6A,Ebolavirus,,,,,,,,,
EPS15,27670116,Vaccinia virus,,,,,,,,,,,,,,,
TFRC,17287727,New-world arenavirus,,,,,,,,,,,,,,,
MRC1,18266465|19683778,Dengue virus,Hepatitis B virus,,,,,,,,,,,,,,
GRK2,23029581|23029581|23029581,Yellow fever virus,Dengue virus,Hepatitis C virus,,,,,,,,,,,,,
ANPEP,1350662|8105105,Human coronavirus 229E,Human cytomegalovirus,,,,,,,,,,,,,,
CD86,16920215,Adenovirus subgroup B,,,,,,,,,,,,,,,
FCN1,26984723,Ebolavirus,,,,,,,,,,,,,,,
WWP1,17609263|28768865,Human T-cell leukemia virus type 1,Ebolavirus,,,,,,,,,,,,,,
IDE,17055432,Varicella-zoster virus,,,,,,,,,,,,,,,
PVR,2538245,Poliovirus,,,,,,,,,,,,,,,
PTX3,25695775,Ross river virus,,,,,,,,,,,,,,,
TYRO3,22156524|17005688|22673088,Lassa virus,Ebolavirus,Lymphocytic choriomeningitis virus,,,,,,,,,,,,,
EFNB3,16477309|17376907,Nipah virus,Hendra virus,,,,,,,,,,,,,,
CDK1,21516087,Hepatitis C virus,,,,,,,,,,,,,,,
HSPA1B,16537599,Rotavirus A,,,,,,,,,,,,,,,
ACE2,14647384|15897467,Coronavirus SARS,Human coronavirus NL63,Coronavirus SARS-2,,,,,,,,,,,,,
HSPA1A,16537599,Rotavirus A,,,,,,,,,,,,,,,
MOG,21880773,Rubella virus,,,,,,,,,,,,,,,
GPR15,15650194,Human immunodeficiency virus 1,,,,,,,,,,,,,,,
GYPA,15331714|15331714,Influenza virus,Hepatitis A virus,,,,,,,,,,,,,,
CLDN6,17804490,Hepatitis C virus,,,,,,,,,,,,,,,
TNFRSF14,9696799|9696799,Herpes simplex 1,Herpes simplex 2,,,,,,,,,,,,,,
HAVCR1,9658108|21536871|21536871|23084921,Hepatitis A virus,Ebolavirus,Marburg virus,Dengue virus,,,,,,,,,,,,
ITGB3,18045938|7519807|9618541|15834425|24478423|11160695|23658209,Human herpesvirus 8,Coxsackievirus A9,Hantaan virus,Human cytomegalovirus,Human metapneumovirus,Human parechovirus 1,West nile virus,,,,,,,,,
HS3ST5,12138164,Herpes simplex 1,,,,,,,,,,,,,,,
CLEC4G,24623090|16051304|16051304|22156524|22673088,Japanese encephalitis virus,Ebolavirus,Coronavirus SARS,Lassa virus,Lymphocytic choriomeningitis virus,,,,,,,,,,,
