"","Neutrophil"
"DDX11L1",0
"WASH7P",0.144831827179528
"MIR6859-1",0
"MIR1302-2HG",0
"MIR1302-2",0
"FAM138A",0
"OR4G4P",0.0487902551877274
"OR4G11P",0
"OR4F5",0
"AL627309.1",0.0456656192512885
"AL627309.3",0
"CICP27",1.12378737454093
"AL627309.6",3.91547752898366
"AL627309.7",0.585890292446611
"AL627309.2",0.038360537611738
"AL627309.5",0.0248778879487705
"RNU6-1100P",0.0237985530308925
"AL627309.4",0
"FO538757.2",0.0501860790132351
"FO538757.1",0.0260791293192493
"MIR6859-2",0
"AP006222.1",0.043383035149721
"RPL23AP24",0
"AL732372.1",0
"AL732372.2",0.619304379151891
"WBP1LP7",0
"OR4F29",0
"CICP7",0
"AL732372.3",0.139306041610227
"RF00026",0
"AL669831.3",0.0671720208370225
"AC114498.1",0
"MTND1P23",0.104311693417801
"MTND2P28",0.168230365225077
"MTCO1P12",0.174532874793898
"MIR6723",0
"MTCO2P12",0.0566526444777468
"MTATP8P1",0
"MTATP6P1",0.673386986093004
"MTCO3P12",0.0736818769339542
"WBP1LP6",0
"OR4F16",0
"CICP3",0
"AL669831.1",0.387854337051617
"RNU6-1199P",0.0451316766289864
"AL669831.2",0
"AL669831.5",0
"AL669831.7",0
"AL669831.4",0
"FAM87B",0
"LINC01128",0.0446001345954164
"LINC00115",0
"FAM41C",0
"TUBB8P11",0
"AL669831.6",0
"AL645608.6",0
"AL645608.2",0
"AL645608.4",0
"LINC02593",0
"SAMD11",0.0550718083534431
"NOC2L",0
"KLHL17",0
"PLEKHN1",0
"PERM1",0
"AL645608.7",0
"HES4",0.12737024861425
"ISG15",0.158081989494851
"AL645608.3",0
"AL645608.1",0
"AGRN",0.0493412806105482
"AL645608.5",0
"AL390719.1",0
"AL645608.8",0
"RNF223",0
"C1orf159",0
"AL390719.3",0.0368253473972074
"LINC01342",0
"MIR200B",0
"MIR200A",0
"MIR429",0
"AL390719.2",0
"TTLL10-AS1",0
"TTLL10",0
"TNFRSF18",0
"TNFRSF4",0.0379962033497586
"SDF4",0.383066565677555
"B3GALT6",0.0960299418634199
"C1QTNF12",0
"AL162741.1",0
"UBE2J2",0.890113621390609
"LINC01786",0.0558805369969206
"SCNN1D",0.0533544478821907
"ACAP3",0.240849693845449
"MIR6726",0
"PUSL1",0.0719598702977222
"INTS11",0.0824615040130855
"MIR6727",0
"AL139287.1",0
"CPTP",0
"TAS1R3",0
"DVL1",0.0612213975485675
"MIR6808",0
"MXRA8",0
"AURKAIP1",0.752776809953829
"NDUFB4P8",0
"CCNL2",0.427411815951687
"AL391244.1",0.0469454140672379
"MRPL20",0.16031643463774
"RN7SL657P",0
"AL391244.3",0
"ANKRD65",0
"AL391244.2",0
"TMEM88B",0
"LINC01770",0
"VWA1",0.0332690672230274
"ATAD3C",0.0297833713891676
"ATAD3B",0.180214388619902
"AL645728.2",0
"ATAD3A",0.0329540036968141
"TMEM240",0
"SSU72",0.640055530489181
"AL645728.1",0
"AL691432.3",0
"FNDC10",0.080389815939469
"AL691432.2",0.0383832576187786
"MIB2",0.236591081988241
"MMP23B",0.0491921477456223
"CDK11B",0.676378021193162
"FO704657.1",0
"SLC35E2B",0.287102853982747
"AL691432.1",0.0654109337986093
"MMP23A",0
"CDK11A",0.114277174223079
"AL031282.2",0.130814407885099
"AL031282.1",0
"SLC35E2A",0.107702918055655
"NADK",1.33084993467823
"GNB1",1.41503703171426
"AL109917.1",0
"CALML6",0.0318630907466844
"TMEM52",0.0318630907466844
"CFAP74",0.0731165338007198
"AL391845.2",0.0226114697738932
"GABRD",0.0273325764402068
"AL391845.1",0
"PRKCZ",0.0385042487945563
"AL590822.2",0.0712105279516868
"PRKCZ-AS1",0.0304790749548848
"FAAP20",0.538153623499077
"AL590822.1",0
"SKI",1.07437798655606
"MORN1",0.0428901503176363
"AL589739.1",0
"AL513477.1",0
"AL513477.2",0
"RER1",0.572390025346961
"PEX10",0.18036420055673
"PLCH2",0
"AL139246.1",0
"AL139246.4",0
"PANK4",0
"HES5",0
"AL139246.5",0
"TNFRSF14-AS1",0
"TNFRSF14",0
"AL139246.2",0
"AL139246.3",0
"PRXL2B",0
"MMEL1",0
"AL831784.1",0
"TTC34",0
"AC242022.2",0
"AC242022.1",0
"AL592464.2",0.0412433106841939
"AL592464.1",0.0498707273392631
"AL589702.1",0
"ACTRT2",0
"LINC00982",0.103898336320577
"PRDM16",0.0446159175092291
"MIR4251",0
"AL008733.1",0.0924743687713878
"AL512383.1",0
"AL590438.1",0.0340413331017811
"ARHGEF16",0
"AL512413.1",0
"MEGF6",0.685736025451366
"MIR551A",0
"AL513320.1",0
"TPRG1L",0.245444794041749
"WRAP73",0.346563344720629
"TP73",0.0764404603810023
"AL136528.1",0.0455924337439439
"AL136528.2",0
"TP73-AS1",0
"RF02197",0
"CCDC27",0.0377067918842906
"SMIM1",0.0604631932539919
"LRRC47",0.25482278599634
"RN7SL574P",0.0249897006612269
"AL365330.1",0
"CEP104",0.124983098165268
"DFFB",0.0556952334406326
"C1orf174",0.0237985530308925
"LINC01134",0
"LINC01346",0.0245361419004622
"LINC01345",0
"AL805961.1",0.0189194756997514
"AL805961.2",0.0126644427938789
"EEF1DP6",0
"LINC01777",0
"AL355602.1",0.048694928920547
"Z98747.1",0
"LINC01646",0.0514386870614943
"AJAP1",0.0348858927048469
"BX005132.2",0
"BX005132.1",0.0466699308617676
"AL691497.1",0.043383035149721
"AL139823.1",0
"Z98259.3",0
"Z98259.2",0
"Z98259.1",0
"Z97988.1",0
"AL365255.1",0
"MIR4417",0
"MIR4689",0
"NPHP4",0.0624756744354054
"KCNAB2",0.253329772562815
"CHD5",0.0966135526039641
"AL031847.2",0
"RPL22",0
"AL031847.1",0
"RNF207",0
"ICMT",0.0455924337439439
"LINC00337",0.0273325764402068
"HES3",0
"GPR153",0
"ACOT7",0.0332690672230274
"AL031848.2",0
"HES2",0
"ESPN",0
"MIR4252",0
"AL031848.1",0
"TNFRSF25",0
"PLEKHG5",0.0452545660689029
"NOL9",0.0955384938357914
"RNU6-731P",0
"AL591866.1",0
"TAS1R1",0.0679367697885341
"ZBTB48",0.297478795102252
"KLHL21",0.13179557215396
"PHF13",0.0852581872338851
"THAP3",0.0505343225053153
"DNAJC11",0.100323294541645
"LINC01672",0
"AL591163.1",0
"CAMTA1-DT",0
"CAMTA1",0.0791994542106874
"AL590128.1",0
"AL512330.1",0
"RNU1-8P",0
"CAMTA1-IT1",0
"Z97987.1",0
"AL365194.1",0
"AL359881.3",0
"AL359881.2",0
"AL359881.1",0
"VAMP3",0.68799137290431
"Z98884.2",0
"PER3",0
"Z98884.1",0
"UTS2",0
"TNFRSF9",0.0802941889705251
"AL009183.1",0
"PARK7",0.289232446944824
"RF00019",0
"AL034417.4",0.0812539105455792
"AL034417.3",0
"ERRFI1",0.0591569597957509
"AL034417.2",0
"AL034417.1",0
"AL358876.1",0
"LINC01714",0
"RNU1-7P",0
"AL358876.2",0.0364706870760148
"RNU6-991P",0
"SLC45A1",0
"RERE",1.04014758397634
"AL096855.1",0.0657965938421907
"RF00599",0.0403968854742724
"AL096855.2",0.0418191663052387
"RPL7P11",0
"RPL7P7",0
"AL357552.1",0
"AL357552.2",0
"RPL23AP19",0
"ENO1",0.836946013276888
"MIR6728",0
"ENO1-AS1",0
"RNU6-304P",0
"HMGN2P17",0
"AL139415.1",0
"AL139415.2",0
"CA6",0
"RN7SL451P",0
"SLC2A7",0
"SLC2A5",0.0598726780734758
"RF00424",0
"GPR157",0
"MIR34AHG",0.0603983736449514
"MIR34A",0
"LNCTAM34A",0
"H6PD",0.335039663093408
"SPSB1",0.0431747143697073
"BX323043.1",0
"AL928921.2",0
"RNA5SP40",0
"AL928921.1",0
"SLC25A33",0
"AL954705.1",0
"TMEM201",0.0675795005359702
"PIK3CD",1.4016853944822
"PIK3CD-AS1",0.138321983015916
"AL691449.1",0.0559332155399824
"PIK3CD-AS2",0
"CLSTN1",0.171282350894155
"MZT1P1",0
"AL357140.3",0
"CTNNBIP1",0.0261086931382969
"AL357140.1",0
"AL357140.5",0
"LZIC",0.111142879511541
"AL357140.2",0
"NMNAT1",0.0921360909186817
"RN7SKP269",0
"AL357140.4",0
"MIR5697",0
"AL603962.1",0
"RBP7",0.677789734552532
"UBE4B",0.461156355434534
"AL590639.1",0
"PGAM1P11",0
"RNU6-828P",0
"KIF1B",1.02019379283479
"MIR1273D",0
"RNU6-37P",0.044379129435681
"RN7SL731P",0
"AL139424.3",0.181612473244503
"AL139424.2",0.0441391757404269
"PGD",2.66832984283614
"AL139424.1",0
"CENPS-CORT",0
"CENPS",0
"CORT",0.0530209848250337
"DFFA",0.107801135435054
"AL354956.1",0
"PEX14",0
"RN7SL614P",0
"CASZ1",0.166286662065679
"AL139423.1",0
"HSPE1P24",0
"C1orf127",0.130530857376289
"CFL1P6",0
"TARDBP",0.337244937692624
"AL109811.4",0
"MASP2",0
"AL109811.3",0.0252316637805507
"SRM",0.0208444804453415
"EXOSC10",0.0385240661741144
"AL109811.1",0
"AL109811.2",0
"MTOR",0.296870435374681
"MTOR-AS1",0
"RNU6-537P",0
"ANGPTL7",0
"RNU6-291P",0
"RPL39P6",0
"UBIAD1",0.109129183953573
"UBE2V2P3",0
"AL031291.1",0
"MTCYBP45",0
"DISP3",0
"AL590989.1",0
"LINC01647",0
"AL031731.1",0.0493359753847846
"FBXO2",0
"FBXO44",0.062558187856798
"FBXO6",0.0252038367063097
"MAD2L2",0.172223631641735
"DRAXIN",0.0506685520054876
"AGTRAP",1.56308968350021
"C1orf167",0
"AL953897.1",0
"MTHFR",0.148923766002825
"CLCN6",0.0662540584651824
"RF02156",0
"RF02157",0
"NPPA",0.0493030799889554
"RF02158",0
"NPPB",0
"AL021155.1",0.0310674604964764
"AL021155.2",0.046096674149897
"RNU5E-1",0
"RNU5E-4P",0
"KIAA2013",0.502086719536948
"PLOD1",0.389438364400932
"MFN2",0.960658533409933
"AL096840.1",0
"MIIP",0.39730123969523
"MIR6729",0
"RN7SL649P",0
"TNFRSF8",0.0577381836346813
"RNU6-777P",0
"RPL23AP89",0
"AL357835.1",0
"MIR7846",0
"TNFRSF1B",4.15600742735272
"MIR4632",0
"RPL10P17",0
"RF00156",0
"VPS13D",0.326107952717835
"SNORA59A",0
"AC243836.1",0.0304463285917486
"DHRS3",0.0507344663548627
"RNU6ATAC18P",0
"MIR6730",0
"AC254633.1",0
"AADACL4",0
"AC244670.1",0
"AADACL3",0
"C1orf158",0
"PRAMEF12",0
"PRAMEF1",0
"LINC01784",0
"PRAMEF11",0
"PRAMEF30P",0
"HNRNPCL1",0
"PRAMEF2",0
"PRAMEF4",0
"PRAMEF10",0
"PRAMEF7",0
"RNU6-1072P",0
"PRAMEF29P",0
"PRAMEF6",0
"PRAMEF28P",0
"PRAMEF27",0
"HNRNPCL3",0
"PRAMEF25",0
"PRAMEF34P",0
"PRAMEF35P",0
"HNRNPCL2",0
"PRAMEF36P",0
"AC245056.1",0
"PRAMEF26",0
"HNRNPCL4",0
"PRAMEF9",0
"PRAMEF13",0
"PRAMEF18",0
"PRAMEF31P",0
"PRAMEF5",0
"PRAMEF32P",0
"RNU6-771P",0
"PRAMEF8",0
"PRAMEF33",0
"PRAMEF15",0
"AC243961.1",0
"PRAMEF14",0
"PRAMEF19",0.0239498632829407
"PRAMEF17",0.0323741055666783
"PRAMEF20",0
"LRRC38",0
"AL354712.1",0
"BRWD1P1",0
"PDPN",0
"RNA5SP41",0
"AL359771.1",0
"RF00564",0
"PRDM2",0.621697182784313
"KAZN",0.638728056282133
"RNU6-1265P",0
"AL357873.1",0
"KAZN-AS1",0.0570794871819801
"TBCAP2",0
"TMEM51-AS1",0
"TMEM51",0.0390556872059436
"C1orf195",0
"AL035405.1",0
"AL391094.1",0
"FHAD1",0.0503816834184543
"AL031283.2",0
"AL031283.3",0
"AL031283.1",0.0219608543884306
"EFHD2",3.12267910201384
"CTRC",0
"CELA2A",0
"CELA2B",0
"CASP9",0.164768211263106
"DNAJC16",0.0791047891911037
"SCARNA21B",0
"AL121992.3",0
"AGMAT",0
"AL121992.1",0
"CHCHD2P6",0
"RNU7-179P",0
"CD24P1",0
"DDI2",0.187368215723219
"RSC1A1",0
"AL121992.2",0
"PLEKHM2",0.239928866060739
"AL450998.2",0.0429963587762073
"SLC25A34",0.0360198735555426
"SLC25A34-AS1",0
"TMEM82",0.027130264411387
"FBLIM1",0.0408169261985717
"RPL12P14",0
"UQCRHL",0.0537749439284712
"AL450998.1",0.0198695662507056
"FLJ37453",0.130712828316344
"SPEN",0.53842416060667
"AL034555.1",0
"ZBTB17",0.392770284180825
"AL355994.4",0
"AL355994.1",0
"AL355994.5",0
"TBC1D3P6",0
"SRARP",0
"AL355994.3",0
"HSPB7",0
"CLCNKA",0
"AL355994.2",0
"CLCNKB",0
"FAM131C",0
"EPHA2",0.0391604325397422
"AL451042.2",0
"AL451042.1",0
"ARHGEF19-AS1",0
"ARHGEF19",0.0371077285903044
"ANO7L1",0.0432615509721968
"CPLANE2",0.0439892072025874
"MT1XP1",0
"FBXO42",0.143350074087225
"SZRD1",0.225254651507701
"RPL22P3",0
"SPATA21",0.127998070850951
