"","Evo_Type","Gene_Class","Conserved_Num","Human_Spec_Num","Mouse_Spec_Num"
"KIAA1841","0","Other","1","0","0"
"C17orf49","1","Other","0","0","25"
"C2orf68","2","Other","4","26","0"
"C4orf19","2","Other","2","2","4"
"C11orf58","0","Other","31","0","0"
"C9orf16","2","Other","19","9","2"
"C9orf24","0","Other","1","0","0"
"C11orf1","2","Other","1","2","3"
"C3orf80",NA,"Other","0","0","0"
"C8orf33","2","Other","4","6","13"
"C11orf49","2","Other","6","4","1"
"C9orf85","3","Other","0","1","7"
"KIAA1143","1","Other","0","0","6"
"C16orf74","3","Other","0","1","2"
"C12orf73","1","Other","0","1","0"
"C6orf120","3","Other","0","1","5"
"C19orf12","2","Other","1","5","5"
"C5orf49","0","Other","1","0","0"
"C9orf50",NA,"Other","0","0","0"
"C17orf98",NA,"Other","0","0","0"
"C2orf81","0","Other","1","0","0"
"C9orf116","0","Other","1","0","0"
"C19orf81",NA,"Other","0","0","0"
"C6orf118","1","Other","0","1","0"
"C4orf51",NA,"Other","0","0","0"
"C11orf97","0","Other","1","0","0"
"C1orf158","1","Other","0","1","0"
"C1orf194","0","Ligand","1","0","0"
"C1orf100",NA,"Other","0","0","0"
"C4orf36",NA,"Other","0","0","0"
"C17orf97","1","Other","0","0","1"
"C15orf39","2","Other","3","3","1"
"C12orf50",NA,"Other","0","0","0"
"C16orf95",NA,"Other","0","0","0"
"C2orf88",NA,"Other","0","0","0"
"C10orf82",NA,"Other","0","0","0"
"C20orf141",NA,"Other","0","0","0"
"C17orf50",NA,"Other","0","0","0"
"C20orf85","1","Other","0","1","0"
"C9orf131",NA,"Other","0","0","0"
"C10orf53","1","Other","0","0","1"
"C1orf21","2","Other","2","8","2"
"C1orf146",NA,"Other","0","0","0"
"C9orf135","2","Other","1","1","0"
"C11orf94",NA,"Other","0","0","0"
"C4orf47","0","Other","1","0","0"
"C16orf46","1","Other","0","0","1"
"C19orf44",NA,"Other","0","0","0"
"C12orf71",NA,"Other","0","0","0"
"C16orf90","1","Other","0","0","1"
"C20orf27","3","Other","0","2","3"
"C2orf69","1","Other","0","1","0"
"C19orf67",NA,"Other","0","0","0"
"C22orf23","0","Other","1","0","0"
"C2orf74",NA,"Other","0","0","0"
"C1orf189","1","Other","0","0","1"
"C3orf62","1","Other","0","2","0"
"C12orf42",NA,"Other","0","0","0"
"C14orf119","2","Other","9","15","5"
"C17orf64",NA,"Other","0","0","0"
"C11orf98","1","Other","0","0","19"
"C17orf58","1","Other","0","0","5"
"C16orf72","2","Other","6","2","11"
"CXorf38","3","Other","0","7","3"
"C11orf53",NA,"Other","0","0","0"
"C11orf24","2","Other","3","7","2"
"C11orf86",NA,"Other","0","0","0"
"C9orf64","1","Other","0","0","17"
