plate.barcode,organism,tissue,region,label,sorter,sort.location,patient,sample,location
B002014,human,lung,normal,"Ecpam, CD45",ahmad/kyle/lolita,biohub,2,medial 2,medial
B002382,human,lung,normal,"Ecpam, CD45",ahmad/kyle/lolita,biohub,2,distal 2,distal
B002383,human,lung,normal,"Ecpam, CD45",ahmad/kyle/lolita,biohub,2,distal 2,distal
B002385,human,lung,normal,"Ecpam, CD45",ahmad/kyle/lolita,biohub,2,distal 2,distal
B002386,human,lung,normal,"Ecpam, CD45",ahmad/kyle/lolita,biohub,2,distal 2,distal
B003133,human,lung,normal,"Ecpam, CD45",ahmad/kyle/lolita,biohub,2,medial 2,medial
B003134,human,lung,normal,"Ecpam, CD45",ahmad/kyle/lolita,biohub,2,distal 2,distal
B003135,human,lung,normal,"Ecpam, CD45",ahmad/kyle/lolita,biohub,2,medial 2,medial
B003136,human,lung,normal,"Ecpam, CD45",ahmad/kyle/lolita,biohub,2,distal 2,distal
B003137,human,lung,normal,"Ecpam, CD45",ahmad/kyle/lolita,biohub,2,medial 2,medial
B003138,human,lung,normal,"Ecpam, CD45",ahmad/kyle/lolita,biohub,2,medial 2,medial
B003139,human,lung,normal,"Ecpam, CD45",ahmad/kyle/lolita,biohub,2,distal 2,distal
B003140,human,lung,normal,"Ecpam, CD45",ahmad/kyle/lolita,biohub,2,distal 2,distal
B003141,human,lung,normal,"Ecpam, CD45",ahmad/kyle/lolita,biohub,2,distal 2,distal
B003142,human,lung,normal,"Ecpam, CD45",ahmad/kyle/lolita,biohub,2,medial 2,medial
