Ensembl ID	Entrez ID	TF family	Protein have DBD
ENSMUSG00000029313	17355	AF-4	ENSMUSP00000031256;ENSMUSP00000059744;ENSMUSP00000119631;
ENSMUSG00000031189	14266	AF-4	ENSMUSP00000033532;
ENSMUSG00000049470	93736	AF-4	ENSMUSP00000051479;ENSMUSP00000120613;ENSMUSP00000118866;
ENSMUSG00000037138	16764	AF-4	ENSMUSP00000092637;ENSMUSP00000118703;ENSMUSP00000027250;ENSMUSP00000044128;ENSMUSP00000114638;
ENSMUSG00000025927	21419	AP-2	ENSMUSP00000027059;ENSMUSP00000064488;
ENSMUSG00000042477	332937	AP-2	ENSMUSP00000035902;
ENSMUSG00000042596	226896	AP-2	ENSMUSP00000037699;
ENSMUSG00000028640	21420	AP-2	ENSMUSP00000096657;ENSMUSP00000030391;ENSMUSP00000129922;
ENSMUSG00000021359	21418	AP-2	ENSMUSP00000105822;ENSMUSP00000021787;
ENSMUSG00000019564	13496	ARID	ENSMUSP00000019708;ENSMUSP00000101016;ENSMUSP00000101015;
ENSMUSG00000019947	71371	ARID	ENSMUSP00000020106;
ENSMUSG00000048118	238247	ARID	ENSMUSP00000035512;ENSMUSP00000121319;
ENSMUSG00000042207	75605	ARID	ENSMUSP00000038138;ENSMUSP00000107816;ENSMUSP00000107817;
ENSMUSG00000056673	20592	ARID	ENSMUSP00000061095;
ENSMUSG00000033237	77044	ARID	ENSMUSP00000093969;ENSMUSP00000135829;
ENSMUSG00000030180	214899	ARID	ENSMUSP00000098558;ENSMUSP00000005108;
ENSMUSG00000039219	94246	ARID	ENSMUSP00000106163;ENSMUSP00000106162;ENSMUSP00000106165;ENSMUSP00000118687;ENSMUSP00000043889;
ENSMUSG00000025332	20591	ARID	ENSMUSP00000108203;ENSMUSP00000108207;ENSMUSP00000080814;
ENSMUSG00000037447	214855	ARID	ENSMUSP00000110683;ENSMUSP00000095385;ENSMUSP00000115490;ENSMUSP00000110684;
ENSMUSG00000069729	239985	ARID	ENSMUSP00000111463;ENSMUSP00000111465;ENSMUSP00000090398;
ENSMUSG00000007880	93760	ARID	ENSMUSP00000122354;ENSMUSP00000008024;ENSMUSP00000101517;
ENSMUSG00000066224	550619	ARID	ENSMUSP00000127678;ENSMUSP00000081748;ENSMUSP00000116411;
ENSMUSG00000004661	56380	ARID	ENSMUSP00000130173;ENSMUSP00000096283;ENSMUSP00000004780;
