DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2014-10-17	24583629	Senapati S	2014-02-27	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/24583629	Genome-wide analysis of methotrexate pharmacogenomics in rheumatoid arthritis shows multiple novel risk variants and leads for TYMS regulation.	Response to methotrexate in rheumatoid arthritis	281 Indian ancestry good responder cases, 157 Indian ancestry poor responder cases	NA	3q25.33	3	160712081	PPM1L, ARL14	ARL14 - PPM1L	80117	151742		33633	43451	rs7624766-G	rs7624766	0	7624766	intergenic_variant	1	0.30	4E-7	6.3979400086720375		2.28	[1.66-3.15]	Illumina [432662]	N	response to methotrexate, rheumatoid arthritis	http://purl.obolibrary.org/obo/GO_0031427, http://www.ebi.ac.uk/efo/EFO_0000685	GCST002375	Genome-wide genotyping array
2014-10-17	24583629	Senapati S	2014-02-27	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/24583629	Genome-wide analysis of methotrexate pharmacogenomics in rheumatoid arthritis shows multiple novel risk variants and leads for TYMS regulation.	Response to methotrexate in rheumatoid arthritis	281 Indian ancestry good responder cases, 157 Indian ancestry poor responder cases	NA	18p11.23	18	8275859	PTPRM	PTPRM			5797			rs6506569-G	rs6506569	0	6506569	intron_variant	0	0.54	7E-6	5.154901959985743		1.98	[1.46-2.67]	Illumina [432662]	N	response to methotrexate, rheumatoid arthritis	http://purl.obolibrary.org/obo/GO_0031427, http://www.ebi.ac.uk/efo/EFO_0000685	GCST002375	Genome-wide genotyping array
2013-03-15	23233662	Ramsey LB	2012-12-11	Blood	www.ncbi.nlm.nih.gov/pubmed/23233662	Genome-wide study of methotrexate clearance replicates SLCO1B1.	Methotrexate clearance (acute lymphoblastic leukemia)	22 East Asian ancestry cases, 58 African ancestry, African American or Afro-Caribbean cases, 266 Hispanic or Latin American cases, 806 European ancestry cases, 127 cases	699 European ancestry cases	12p12.1	12	21224625	SLCO1B1	SLCO1B7 - SLCO1A2	338821	6579		134519	39975	rs4149080-C	rs4149080	0	4149080	intron_variant	1	0.18	6E-21	20.221848749616356		12.0	[NR] mL/min/m2 decrease	Affymetrix [~ 5200000] (imputed)	N	response to methotrexate	http://purl.obolibrary.org/obo/GO_0031427	GCST001770	Genome-wide genotyping array
2017-07-17	28500057	Bluett J	2017-05-12	Ann Rheum Dis	www.ncbi.nlm.nih.gov/pubmed/28500057	HLA-A 31:01 is not associated with the development of methotrexate pneumonitis in the UK population: results from a genome-wide association study.	Methotrexate-induced interstitial lung disease in rheumatoid arthritis	62 European ancestry cases, 175 European ancestry controls	NA	1q21.2	1	147733635	GJA5, ACP6	LOC105371230, LOC102723321			105371230, 102723321			rs6593803-?	rs6593803	0	6593803	intergenic_variant	0		2E-7	6.698970004336019		3.13	[NR]	Illumina [NR]	N	response to methotrexate, rheumatoid arthritis, interstitial lung disease	http://purl.obolibrary.org/obo/GO_0031427, http://www.ebi.ac.uk/efo/EFO_0000685, http://www.ebi.ac.uk/efo/EFO_0004244	GCST004358	Genome-wide genotyping array
2017-07-17	28500057	Bluett J	2017-05-12	Ann Rheum Dis	www.ncbi.nlm.nih.gov/pubmed/28500057	HLA-A 31:01 is not associated with the development of methotrexate pneumonitis in the UK population: results from a genome-wide association study.	Methotrexate-induced interstitial lung disease in rheumatoid arthritis	62 European ancestry cases, 175 European ancestry controls	NA	9q31.1	9	101611505	NR	GRIN3A			116443			rs9299346-?	rs9299346	0	9299346	intron_variant	0		2E-6	5.698970004336019		2.76	[NR]	Illumina [NR]	N	response to methotrexate, rheumatoid arthritis, interstitial lung disease	http://purl.obolibrary.org/obo/GO_0031427, http://www.ebi.ac.uk/efo/EFO_0000685, http://www.ebi.ac.uk/efo/EFO_0004244	GCST004358	Genome-wide genotyping array
2017-07-17	28500057	Bluett J	2017-05-12	Ann Rheum Dis	www.ncbi.nlm.nih.gov/pubmed/28500057	HLA-A 31:01 is not associated with the development of methotrexate pneumonitis in the UK population: results from a genome-wide association study.	Methotrexate-induced interstitial lung disease in rheumatoid arthritis	62 European ancestry cases, 175 European ancestry controls	NA	14q21.1	14	42913159	NR	YWHAQP1 - TUBBP3	319121	326106		105138	361809	rs1624005-?	rs1624005	0	1624005	intergenic_variant	1		7E-6	5.154901959985743		2.59	[NR]	Illumina [NR]	N	response to methotrexate, rheumatoid arthritis, interstitial lung disease	http://purl.obolibrary.org/obo/GO_0031427, http://www.ebi.ac.uk/efo/EFO_0000685, http://www.ebi.ac.uk/efo/EFO_0004244	GCST004358	Genome-wide genotyping array
2014-11-08	24709693	Cobb J	2014-04-08	Pharmacogenomics J	www.ncbi.nlm.nih.gov/pubmed/24709693	Genome-wide data reveal novel genes for methotrexate response in a large cohort of juvenile idiopathic arthritis cases.	Response to methotrexate in juvenile idiopathic arthritis	694 European ancestry child cases	NA	1q23.3	1	165138742	LMX1A, PBX1	LOC107985452 - LMX1A	107985452	4009		956	63125	rs60624478-A	rs60624478	0	60624478	intergenic_variant	1	NR	6E-6	5.221848749616356	(PhysVAS)	1.17	[0.66-1.68] unit increase	Illumina [586062]	N	response to methotrexate, chronic childhood arthritis	http://purl.obolibrary.org/obo/GO_0031427, http://www.ebi.ac.uk/efo/EFO_0002609	GCST002408	Genome-wide genotyping array
2014-11-08	24709693	Cobb J	2014-04-08	Pharmacogenomics J	www.ncbi.nlm.nih.gov/pubmed/24709693	Genome-wide data reveal novel genes for methotrexate response in a large cohort of juvenile idiopathic arthritis cases.	Response to methotrexate in juvenile idiopathic arthritis	694 European ancestry child cases	NA	5p13.3	5	30835972	CDH6	HPRT1P2 - RPL19P11	3254	100270950		586491	217551	rs12652364-A	rs12652364	0	12652364	intergenic_variant	1	NR	6E-7	6.221848749616356	(PhysVAS)	1.45	[0.88-2.02] unit decrease	Illumina [586062]	N	response to methotrexate, chronic childhood arthritis	http://purl.obolibrary.org/obo/GO_0031427, http://www.ebi.ac.uk/efo/EFO_0002609	GCST002408	Genome-wide genotyping array
2014-11-08	24709693	Cobb J	2014-04-08	Pharmacogenomics J	www.ncbi.nlm.nih.gov/pubmed/24709693	Genome-wide data reveal novel genes for methotrexate response in a large cohort of juvenile idiopathic arthritis cases.	Response to methotrexate in juvenile idiopathic arthritis	694 European ancestry child cases	NA	7q31.31	7	117737591	LSM8, CFTR, CTTNBP2	CTTNBP2			83992			rs757278-T	rs757278	0	757278	intron_variant	0	NR	5E-7	6.301029995663981	(ParVAS)	1.32	[0.81-1.83] unit increase	Illumina [586062]	N	response to methotrexate, chronic childhood arthritis	http://purl.obolibrary.org/obo/GO_0031427, http://www.ebi.ac.uk/efo/EFO_0002609	GCST002408	Genome-wide genotyping array
2014-11-08	24709693	Cobb J	2014-04-08	Pharmacogenomics J	www.ncbi.nlm.nih.gov/pubmed/24709693	Genome-wide data reveal novel genes for methotrexate response in a large cohort of juvenile idiopathic arthritis cases.	Response to methotrexate in juvenile idiopathic arthritis	694 European ancestry child cases	NA	7q31.31	7	117818989	LSM8, CFTR, CTTNBP2	CTTNBP2			83992			rs7800668-C	rs7800668	0	7800668	intron_variant	0	NR	6E-6	5.221848749616356	(ACR-pedi)	1.34	[0.75-1.93] unit decrease	Illumina [586062]	N	response to methotrexate, chronic childhood arthritis	http://purl.obolibrary.org/obo/GO_0031427, http://www.ebi.ac.uk/efo/EFO_0002609	GCST002408	Genome-wide genotyping array
