DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2011-06-07	21602797	Wright FA	2011-05-22	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21602797	Genome-wide association and linkage identify modifier loci of lung disease severity in cystic fibrosis at 11p13 and 20q13.2.	Cystic fibrosis severity	2,317 European ancestry cases, 177 cases	898 European ancestry sibling pair cases, 75 sibling pair cases	11p13	11	34812657	APIP, EHF	LOC102723568			102723568			rs12793173-C	rs12793173	0	12793173	regulatory_region_variant	0	0.24	1E-9	9.0	p.Phe508del/p.Phe508del only			Illumina [~ 2609000] (imputed)	N	Cystic fibrosis	http://www.orpha.net/ORDO/Orphanet_586	GCST001077	Genome-wide genotyping array
2011-06-07	21602797	Wright FA	2011-05-22	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21602797	Genome-wide association and linkage identify modifier loci of lung disease severity in cystic fibrosis at 11p13 and 20q13.2.	Cystic fibrosis severity	2,317 European ancestry cases, 177 cases	898 European ancestry sibling pair cases, 75 sibling pair cases	Xq23	X	116170939	AGTR2	AGTR2			186			rs1403543-A	rs1403543	0	1403543	intron_variant	0	0.51	2E-6	5.698970004336019				Illumina [~ 2609000] (imputed)	N	Cystic fibrosis	http://www.orpha.net/ORDO/Orphanet_586	GCST001077	Genome-wide genotyping array
2011-06-07	21602797	Wright FA	2011-05-22	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21602797	Genome-wide association and linkage identify modifier loci of lung disease severity in cystic fibrosis at 11p13 and 20q13.2.	Cystic fibrosis severity	2,317 European ancestry cases, 177 cases	898 European ancestry sibling pair cases, 75 sibling pair cases	6p21.32	6	32464300	HLA-DRA	HLA-DRB9 - HLA-DRB5	3132	3127		4211	53043	rs9268905-C	rs9268905	0	9268905	intron_variant	1	0.32	1E-7	7.0				Illumina [~ 2609000] (imputed)	N	Cystic fibrosis	http://www.orpha.net/ORDO/Orphanet_586	GCST001077	Genome-wide genotyping array
2011-06-07	21602797	Wright FA	2011-05-22	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21602797	Genome-wide association and linkage identify modifier loci of lung disease severity in cystic fibrosis at 11p13 and 20q13.2.	Cystic fibrosis severity	2,317 European ancestry cases, 177 cases	898 European ancestry sibling pair cases, 75 sibling pair cases	14q24.2	14	70050466	SLC8A3	SLC8A3			6547			rs12883884-T	rs12883884	0	12883884	intron_variant	0	0.61	8E-6	5.096910013008056				Illumina [~ 2609000] (imputed)	N	Cystic fibrosis	http://www.orpha.net/ORDO/Orphanet_586	GCST001077	Genome-wide genotyping array
2011-06-07	21602797	Wright FA	2011-05-22	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21602797	Genome-wide association and linkage identify modifier loci of lung disease severity in cystic fibrosis at 11p13 and 20q13.2.	Cystic fibrosis severity	2,317 European ancestry cases, 177 cases	898 European ancestry sibling pair cases, 75 sibling pair cases	5p15.33	5	428121	AHRR	AHRR			57491			rs12188164-A	rs12188164	0	12188164	intron_variant	0	0.38	4E-6	5.3979400086720375				Illumina [~ 2609000] (imputed)	N	Cystic fibrosis	http://www.orpha.net/ORDO/Orphanet_586	GCST001077	Genome-wide genotyping array
2011-06-07	21602797	Wright FA	2011-05-22	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21602797	Genome-wide association and linkage identify modifier loci of lung disease severity in cystic fibrosis at 11p13 and 20q13.2.	Cystic fibrosis severity	2,317 European ancestry cases, 177 cases	898 European ancestry sibling pair cases, 75 sibling pair cases	16q21	16	62343249	CDH8	CDH8 - LOC105371306	1006	105371306		306414	336008	rs11645366-C	rs11645366	0	11645366	intergenic_variant	1	0.77	7E-6	5.154901959985743				Illumina [~ 2609000] (imputed)	N	Cystic fibrosis	http://www.orpha.net/ORDO/Orphanet_586	GCST001077	Genome-wide genotyping array
2013-10-30	23670970	Blackman SM	2013-05-13	Diabetes	www.ncbi.nlm.nih.gov/pubmed/23670970	Genetic modifiers of cystic fibrosis-related diabetes.	Cystic fibrosis-related diabetes	644 cystic fibrosis-related diabetes cases, 2,415 cystic fibrosis controls	124 cystic fibrosis-related diabetes cases, 570 cystic fibrosis controls	1q32.1	1	205945629	SLC26A9	LOC103021296			103021296			rs4077468-A	rs4077468	0	4077468	intergenic_variant	0	0.58	1E-9	9.0		1.39	[1.25-1.54]	Illumina [549869]	N	Cystic fibrosis, type II diabetes mellitus	http://www.orpha.net/ORDO/Orphanet_586, http://www.ebi.ac.uk/efo/EFO_0001360	GCST002025	Genome-wide genotyping array
2016-09-19	26417704	Corvol H	2015-09-29	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26417704	Genome-wide association meta-analysis identifies five modifier loci of lung disease severity in cystic fibrosis.	Lung disease severity in cystic fibrosis	4,139 European and other ancestry p.Phe508del homozygote cases,  2,226 European and other ancestry cases	NA	Xq23	X	116217020	AGTR2, SLC6A14	AGTR2 - RNU6-154P	186	106481878		42048	183829	rs7879546-C	rs7879546	0	7879546	intergenic_variant	1	0.48	5E-10	9.301029995663981	(EA, fixed)			Illumina [8520458] (imputed)	N	Cystic fibrosis, lung disease severity measurement	http://www.orpha.net/ORDO/Orphanet_586, http://www.ebi.ac.uk/efo/EFO_0007744	GCST003143	Genome-wide genotyping array
2016-09-19	26417704	Corvol H	2015-09-29	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26417704	Genome-wide association meta-analysis identifies five modifier loci of lung disease severity in cystic fibrosis.	Lung disease severity in cystic fibrosis	4,139 European and other ancestry p.Phe508del homozygote cases,  2,226 European and other ancestry cases	NA	Xq23	X	116255308	AGTR2, SLC6A14	AGTR2 - RNU6-154P	186	106481878		80336	145541	rs5952223-T	rs5952223	0	5952223	intergenic_variant	1	0.28	5E-8	7.301029995663981	(EA, p.Phe508del, fixed)			Illumina [8520458] (imputed)	N	Cystic fibrosis, lung disease severity measurement	http://www.orpha.net/ORDO/Orphanet_586, http://www.ebi.ac.uk/efo/EFO_0007744	GCST003143	Genome-wide genotyping array
2016-09-19	26417704	Corvol H	2015-09-29	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26417704	Genome-wide association meta-analysis identifies five modifier loci of lung disease severity in cystic fibrosis.	Lung disease severity in cystic fibrosis	4,139 European and other ancestry p.Phe508del homozygote cases,  2,226 European and other ancestry cases	NA	Xq23	X	116217020	AGTR2, SLC6A14	AGTR2 - RNU6-154P	186	106481878		42048	183829	rs7879546-C	rs7879546	0	7879546	intergenic_variant	1	0.48	1E-9	9.0	(fixed)	0.07	[NR] unit increase	Illumina [8520458] (imputed)	N	Cystic fibrosis, lung disease severity measurement	http://www.orpha.net/ORDO/Orphanet_586, http://www.ebi.ac.uk/efo/EFO_0007744	GCST003143	Genome-wide genotyping array
