"Type","Family id","Family name","Target id","Target name","Subunits","Target systematic name","Target abbreviated name","synonyms","HGNC id","HGNC symbol","HGNC name","Human genetic localisation","Human nucleotide RefSeq","Human protein RefSeq","Human SwissProt","Human Entrez Gene","RGD id","RGD symbol","RGD name","Rat genetic localisation","Rat nucleotide RefSeq","Rat protein RefSeq","Rat SwissProt","Rat Entrez Gene","MGI id","MGI symbol","MGI name","Mouse genetic localisation","Mouse nucleotide RefSeq","Mouse protein RefSeq","Mouse SwissProt","Mouse Entrez Gene"
"gpcr","1","5-Hydroxytryptamine receptors","1","5-HT<sub>1A</sub> receptor","","","","ADRBRL1|5-HT1A|ADRB2RL1|serotonin receptor 1A|Gpcr18|5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled","5286","HTR1A","5-hydroxytryptamine receptor 1A","5q11.2-q13","NM_000524","NP_000515","P08908","3350","2845","Htr1a","5-hydroxytryptamine receptor 1A","2q16","NM_012585","NP_036717","P19327","24473","MGI:96273","Htr1a","5-hydroxytryptamine (serotonin) receptor 1A","13 D2.1","NM_008308","NP_032334","Q64264","15550"
"gpcr","1","5-Hydroxytryptamine receptors","2","5-HT<sub>1B</sub> receptor","","","","5-HT1B|5-HT1DB|HTR1D2|5-HT1B serotonin receptor|serotonin receptor 1B|5-HT<sub>1D&beta;</sub>|5-hydroxytryptamine (serotonin) receptor 1B, G protein-coupled","5287","HTR1B","5-hydroxytryptamine receptor 1B","6q13","NM_000863","NP_000854","P28222","3351","2846","Htr1b","5-hydroxytryptamine receptor 1B","8q31","NM_022225","NP_071561","P28564","25075","MGI:96274","Htr1b","5-hydroxytryptamine (serotonin) receptor 1B","9 E1","NM_010482","NP_034612","P28334","15551"
"gpcr","1","5-Hydroxytryptamine receptors","3","5-HT<sub>1D</sub> receptor","","","","5-HT<sub>1D&alpha;</sub>|HT1DA|HTRL|5-HT1D|serotonin receptor 1D|Gpcr14|Htr1db|5-hydroxytryptamine (serotonin) receptor 1D, G protein-coupled","5289","HTR1D","5-hydroxytryptamine receptor 1D","1p36.3-p34.3","NM_000864","NP_000855","P28221","3352","2847","Htr1d","5-hydroxytryptamine receptor 1D","5q36","NM_012852","NP_036984","P28565","25323","MGI:96276","Htr1d","5-hydroxytryptamine (serotonin) receptor 1D","4 D3","NM_008309","NP_032335","Q61224","15552"
"gpcr","1","5-Hydroxytryptamine receptors","4","5-ht<sub>1e</sub> receptor","","","","5-HT<sub>1E</sub><sub>&alpha;</sub>|5-HT1E|5-hydroxytryptamine (serotonin) receptor 1E, G protein-coupled","5291","HTR1E","5-hydroxytryptamine receptor 1E","6q14-q15","NM_000865","NP_000856","P28566","3354","","","","","","","","","","","","","","","",""
"gpcr","1","5-Hydroxytryptamine receptors","5","5-HT<sub>1F</sub> receptor","","","","5-HT<sub>1E&beta;</sub>|5-HT<sub>6</sub>|5-HT1F|HTR1EL|serotonin receptor 1F|5-hydroxytryptamine (serotonin) receptor 1F, G protein-coupled","5292","HTR1F","5-hydroxytryptamine receptor 1F","3p12","NM_000866","NP_000857","P30939","3355","71083","Htr1f","5-hydroxytryptamine receptor 1F","11p12","NM_021857","NP_068629","P30940","60448","MGI:99842","Htr1f","5-hydroxytryptamine (serotonin) receptor 1F","16 C1.3","NM_008310","NP_032336","Q02284","15557"
"gpcr","1","5-Hydroxytryptamine receptors","6","5-HT<sub>2A</sub> receptor","","","","'D' receptor|5Ht-2|serotonin 5HT-2 receptor|serotonin receptor 2A|5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled","5293","HTR2A","5-hydroxytryptamine receptor 2A","13q14-q21","NM_000621","NP_000612","P28223","3356","61800","Htr2a","5-hydroxytryptamine receptor 2A","15q11","NM_017254","NP_058950","P14842","29595","MGI:109521","Htr2a","5-hydroxytryptamine (serotonin) receptor 2A","14 D2","NM_172812","NP_766400","P35363","15558"
"gpcr","1","5-Hydroxytryptamine receptors","7","5-HT<sub>2B</sub> receptor","","","","5-HT<sub>2F</sub>|5-HT2B|serotonin receptor 2B|stomach fundus serotonin receptor|5-hydroxytryptamine (serotonin) receptor 2B, G protein-coupled","5294","HTR2B","5-hydroxytryptamine receptor 2B","2q36.3-q37.1","NM_000867","NP_000858","P41595","3357","61801","Htr2b","5-hydroxytryptamine receptor 2B","9q35","NM_017250","NP_058946","P30994","29581","MGI:109323","Htr2b","5-hydroxytryptamine (serotonin) receptor 2B","1 C5","NM_008311","NP_032337","Q02152","15559"
"gpcr","1","5-Hydroxytryptamine receptors","8","5-HT<sub>2C</sub> receptor","","","","5-HT<sub>1C</sub>|5-HT2C|HTR1C|5-HTR2C|5-hydroxytryptamine receptor 1C|serotonin 1c receptor|serotonin receptor 2C|5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled","5295","HTR2C","5-hydroxytryptamine receptor 2C","Xq24","NM_000868","NP_000859","P28335","3358","2848","Htr2c","5-hydroxytryptamine receptor 2C","Xq34-q35.1","NM_012765","NP_036897","P08909","25187","MGI:96281","Htr2c","5-hydroxytryptamine (serotonin) receptor 2C","X D-F4","NM_008312","NP_032338","P34968","15560"
"gpcr","1","5-Hydroxytryptamine receptors","9","5-HT<sub>4</sub> receptor","","","","5-HT4|serotonin receptor 4|5-hydroxytryptamine (serotonin) receptor 4, G protein-coupled","5299","HTR4","5-hydroxytryptamine receptor 4","5q31-q33","NM_000870","NP_000861","Q13639","3360","2850","Htr4","5-hydroxytryptamine receptor 4","18q12.1","NM_012853","NP_036985","Q62758","25324","MGI:109246","Htr4","5 hydroxytryptamine (serotonin) receptor 4","18 D3","NM_008313","NP_032339","P97288","15562"
"gpcr","1","5-Hydroxytryptamine receptors","10","5-HT<sub>5A</sub> receptor","","","","5-HT<sub>5&alpha;</sub>|5HT<sub>5-</sub>|5-HT-5A|MR22|serotonin receptor 5A|Htr5|5-hydroxytryptamine (serotonin) receptor 5A, G protein-coupled","5300","HTR5A","5-hydroxytryptamine receptor 5A","7q36.1","NM_024012","NP_076917","P47898","3361","2851","Htr5a","5-hydroxytryptamine receptor 5A","4q11","NM_013148","NP_037280","P35364","25689","MGI:96283","Htr5a","5-hydroxytryptamine (serotonin) receptor 5A","5 A3-B","NM_008314","NP_032340","P30966","15563"
