DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2014-03-28	24023788	Ong BA	2013-09-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24023788	Gene network analysis in a pediatric cohort identifies novel lung function genes.	Lung function (forced expiratory flow during mid-portion (25% and 75%) of forced vital capacity)	1,015 European ancestry individuals, 541 African American individuals	NA	9q22.33	9	99275688	NR	SEC61B - RN7SKP225	10952	106479195		45069	8334	rs10819643-?	rs10819643	0	10819643	intergenic_variant	1		1E-6	6.0	(EA)			Illumina [up to 524000]	N	maximal midexpiratory flow rate	http://www.ebi.ac.uk/efo/EFO_0004313	GCST002163	Genome-wide genotyping array
2014-03-28	24023788	Ong BA	2013-09-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24023788	Gene network analysis in a pediatric cohort identifies novel lung function genes.	Lung function (forced expiratory flow during mid-portion (25% and 75%) of forced vital capacity)	1,015 European ancestry individuals, 541 African American individuals	NA	3p25.1	3	16150636	NR	LOC107986064 - GALNT15	107986064	117248		176420	23686	rs6771632-?	rs6771632	0	6771632	intergenic_variant	1		9E-6	5.045757490560675	(EA)			Illumina [up to 524000]	N	maximal midexpiratory flow rate	http://www.ebi.ac.uk/efo/EFO_0004313	GCST002163	Genome-wide genotyping array
2014-03-28	24023788	Ong BA	2013-09-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24023788	Gene network analysis in a pediatric cohort identifies novel lung function genes.	Lung function (forced expiratory flow during mid-portion (25% and 75%) of forced vital capacity)	1,015 European ancestry individuals, 541 African American individuals	NA	22q13.33	22	50223440	NR	TUBGCP6			85378			rs5771242-?	rs5771242	0	5771242	non_coding_transcript_exon_variant	0		1E-6	6.0	(AA)			Illumina [up to 524000]	N	maximal midexpiratory flow rate	http://www.ebi.ac.uk/efo/EFO_0004313	GCST002163	Genome-wide genotyping array
2014-03-28	24023788	Ong BA	2013-09-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24023788	Gene network analysis in a pediatric cohort identifies novel lung function genes.	Lung function (forced expiratory flow during mid-portion (25% and 75%) of forced vital capacity)	1,015 European ancestry individuals, 541 African American individuals	NA	3q25.1	3	151324676	NR	MED12L			116931			rs12107539-?	rs12107539	0	12107539	intron_variant	0		4E-6	5.3979400086720375	(AA)			Illumina [up to 524000]	N	maximal midexpiratory flow rate	http://www.ebi.ac.uk/efo/EFO_0004313	GCST002163	Genome-wide genotyping array
2014-03-28	24023788	Ong BA	2013-09-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24023788	Gene network analysis in a pediatric cohort identifies novel lung function genes.	Lung function (forced expiratory flow during mid-portion (25% and 75%) of forced vital capacity)	1,015 European ancestry individuals, 541 African American individuals	NA	3q13.32	3	118957645	NR	IGSF11			152404			rs4687833-?	rs4687833	0	4687833	intron_variant	0		4E-6	5.3979400086720375	(AA)			Illumina [up to 524000]	N	maximal midexpiratory flow rate	http://www.ebi.ac.uk/efo/EFO_0004313	GCST002163	Genome-wide genotyping array
2014-03-28	24023788	Ong BA	2013-09-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24023788	Gene network analysis in a pediatric cohort identifies novel lung function genes.	Lung function (forced expiratory flow during mid-portion (25% and 75%) of forced vital capacity)	1,015 European ancestry individuals, 541 African American individuals	NA	15q13.1	15	27960418	NR	OCA2			4948			rs4778214-?	rs4778214	0	4778214	intron_variant	0		9E-6	5.045757490560675	(AA)			Illumina [up to 524000]	N	maximal midexpiratory flow rate	http://www.ebi.ac.uk/efo/EFO_0004313	GCST002163	Genome-wide genotyping array
2014-03-28	24023788	Ong BA	2013-09-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24023788	Gene network analysis in a pediatric cohort identifies novel lung function genes.	Lung function (forced expiratory flow during mid-portion (25% and 75%) of forced vital capacity)	1,015 European ancestry individuals, 541 African American individuals	NA	10q23.1	10	84961425	NR	LOC107984249			107984249			rs12266096-?	rs12266096	0	12266096	intergenic_variant	0		6E-6	5.221848749616356	(AA)			Illumina [up to 524000]	N	maximal midexpiratory flow rate	http://www.ebi.ac.uk/efo/EFO_0004313	GCST002163	Genome-wide genotyping array
2014-03-28	24023788	Ong BA	2013-09-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24023788	Gene network analysis in a pediatric cohort identifies novel lung function genes.	Lung function (forced expiratory flow during mid-portion (25% and 75%) of forced vital capacity)	1,015 European ancestry individuals, 541 African American individuals	NA	5q33.3	5	156755037	NR	SGCD			6444			rs11135380-?	rs11135380	0	11135380	intron_variant	0		9E-6	5.045757490560675	(AA)			Illumina [up to 524000]	N	maximal midexpiratory flow rate	http://www.ebi.ac.uk/efo/EFO_0004313	GCST002163	Genome-wide genotyping array
2014-03-28	24023788	Ong BA	2013-09-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24023788	Gene network analysis in a pediatric cohort identifies novel lung function genes.	Lung function (forced expiratory flow during mid-portion (25% and 75%) of forced vital capacity)	1,015 European ancestry individuals, 541 African American individuals	NA	22q11.21	22	17800481	NR	MICAL3			57553			rs5992105-?	rs5992105	0	5992105	intron_variant	0		9E-6	5.045757490560675	(AA)			Illumina [up to 524000]	N	maximal midexpiratory flow rate	http://www.ebi.ac.uk/efo/EFO_0004313	GCST002163	Genome-wide genotyping array
2014-03-28	24023788	Ong BA	2013-09-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24023788	Gene network analysis in a pediatric cohort identifies novel lung function genes.	Lung function (forced expiratory flow during mid-portion (25% and 75%) of forced vital capacity)	1,015 European ancestry individuals, 541 African American individuals	NA	14q22.2	14	54709626	NR	SAMD4A			23034			rs17657012-?	rs17657012	0	17657012	intron_variant	0		9E-6	5.045757490560675	(AA)			Illumina [up to 524000]	N	maximal midexpiratory flow rate	http://www.ebi.ac.uk/efo/EFO_0004313	GCST002163	Genome-wide genotyping array
