Ensembl ID	Entrez ID	TF family	Protein have DBD
ENSG00000072364	27125	AF-4	ENSP00000265343;ENSP00000409069;ENSP00000395268;ENSP00000367858;
ENSG00000155966	2334	AF-4	ENSP00000359489;ENSP00000359487;ENSP00000345459;ENSP00000359486;ENSP00000286437;
ENSG00000172493	4299	AF-4	ENSP00000378578;ENSP00000424881;ENSP00000425755;ENSP00000424483;ENSP00000424766;ENSP00000440843;ENSP00000305689;ENSP00000427593;
ENSG00000144218	3899	AF-4	ENSP00000386834;ENSP00000395068;ENSP00000396582;ENSP00000414099;ENSP00000399795;ENSP00000387207;ENSP00000393732;ENSP00000317421;ENSP00000406484;ENSP00000348793;ENSP00000411383;ENSP00000416685;
ENSG00000269754	2334	AF-4	ENSP00000472279;ENSP00000472480;ENSP00000470911;ENSP00000470621;ENSP00000469697;
ENSG00000008197	83741	AP-2	ENSP00000008391;
ENSG00000087510	7022	AP-2	ENSP00000201031;ENSP00000390857;ENSP00000442274;
ENSG00000008196	7021	AP-2	ENSP00000263046;ENSP00000342252;ENSP00000377265;
ENSG00000116819	339488	AP-2	ENSP00000362332;
ENSG00000137203	7020	AP-2	ENSP00000368933;ENSP00000316516;ENSP00000418541;ENSP00000418391;ENSP00000368924;ENSP00000419961;ENSP00000417735;ENSP00000419823;ENSP00000417495;ENSP00000419696;ENSP00000368928;
ENSG00000116017	1820	ARID	ENSP00000263620;ENSP00000464969;
ENSG00000150347	84159	ARID	ENSP00000279873;ENSP00000308862;
ENSG00000117713	8289	ARID	ENSP00000320485;ENSP00000387636;ENSP00000363267;
ENSG00000189079	196528	ARID	ENSP00000335044;ENSP00000397307;ENSP00000415650;
ENSG00000008083	3720	ARID	ENSP00000341280;ENSP00000444623;ENSP00000380478;
ENSG00000179361	10620	ARID	ENSP00000343126;ENSP00000455668;
ENSG00000032219	5926	ARID	ENSP00000347602;ENSP00000378597;ENSP00000397368;ENSP00000344556;ENSP00000416053;
ENSG00000196843	10865	ARID	ENSP00000350078;ENSP00000400785;
ENSG00000054267	51742	ARID	ENSP00000355562;ENSP00000394663;ENSP00000391497;ENSP00000264184;ENSP00000264183;
ENSG00000049618	57492	ARID	ENSP00000356116;ENSP00000383596;ENSP00000313006;ENSP00000275248;ENSP00000055163;ENSP00000412835;ENSP00000344546;
ENSG00000117139	10765	ARID	ENSP00000356233;ENSP00000356234;
ENSG00000126012	8242	ARID	ENSP00000364550;ENSP00000364528;ENSP00000364532;ENSP00000385394;ENSP00000445176;
ENSG00000205143	138715	ARID	ENSP00000368189;
ENSG00000073614	5927	ARID	ENSP00000382688;ENSP00000443854;ENSP00000438203;ENSP00000444251;ENSP00000372265;
ENSG00000012817	8284	ARID	ENSP00000444293;ENSP00000322408;ENSP00000416377;ENSP00000372256;ENSP00000398543;
ENSG00000269816	8242	ARID	ENSP00000471752;ENSP00000469322;ENSP00000472656;ENSP00000472624;ENSP00000472871;
ENSG00000070444	4335	bHLH	ENSP00000174618;
ENSG00000090447	7023	bHLH	ENSP00000204517;ENSP00000459390;
ENSG00000111046	4618	bHLH	ENSP00000228641;
ENSG00000111049	4617	bHLH	ENSP00000228644;
ENSG00000113196	9421	bHLH	ENSP00000231121;
ENSG00000114315	3280	bHLH	ENSP00000232424;
ENSG00000115738	3398	bHLH	ENSP00000234091;ENSP00000385465;ENSP00000379585;
ENSG00000122180	4656	bHLH	ENSP00000241651;
ENSG00000106546	196	bHLH	ENSP00000242057;ENSP00000436466;
ENSG00000122691	7291	bHLH	ENSP00000242261;ENSP00000346582;ENSP00000416986;
ENSG00000122859	50674	bHLH	ENSP00000242462;
ENSG00000123095	79365	bHLH	ENSP00000242728;
