DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2013-01-25	23144319	Lee Y	2012-11-08	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/23144319	Prognostic implications of genetic variants in advanced non-small cell lung cancer: a genome-wide association study.	Non-small cell lung cancer	348 Korean ancestry cases	NA	9p22.1	9	18930224	FAM154A	SAXO1			158297			rs1571228-?	rs1571228	0	1571228	intron_variant	0	NR	2E-7	6.698970004336019	(Dominant model)			Affymetrix [271817]	N	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	GCST001734	Genome-wide genotyping array
2013-01-25	23144319	Lee Y	2012-11-08	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/23144319	Prognostic implications of genetic variants in advanced non-small cell lung cancer: a genome-wide association study.	Non-small cell lung cancer	348 Korean ancestry cases	NA	2q34	2	210704998	CPS1	CPS1 - LOC107985978	1373	107985978		25891	315497	rs2371030-G	rs2371030	0	2371030	intergenic_variant	1	0.091	3E-6	5.522878745280337	(Additive model)			Affymetrix [271817]	N	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	GCST001734	Genome-wide genotyping array
2013-01-25	23144319	Lee Y	2012-11-08	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/23144319	Prognostic implications of genetic variants in advanced non-small cell lung cancer: a genome-wide association study.	Non-small cell lung cancer	348 Korean ancestry cases	NA	19p13.3	19	348743	MIER2	MIER2 - THEG	54531	51298		3950	13314	rs6510725-?	rs6510725	0	6510725	regulatory_region_variant	1	NR	3E-6	5.522878745280337	(Dominant model)			Affymetrix [271817]	N	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	GCST001734	Genome-wide genotyping array
2013-01-25	23144319	Lee Y	2012-11-08	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/23144319	Prognostic implications of genetic variants in advanced non-small cell lung cancer: a genome-wide association study.	Non-small cell lung cancer	348 Korean ancestry cases	NA	4q28.3	4	134859217	intergenic	LOC105377436 - LOC105377438	105377436	105377438		218643	73485	rs10029269-?	rs10029269	0	10029269	intergenic_variant	1	NR	4E-6	5.3979400086720375	(Dominant model)			Affymetrix [271817]	N	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	GCST001734	Genome-wide genotyping array
2013-01-25	23144319	Lee Y	2012-11-08	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/23144319	Prognostic implications of genetic variants in advanced non-small cell lung cancer: a genome-wide association study.	Non-small cell lung cancer	348 Korean ancestry cases	NA	6p21.31	6	34956087	ANKS1A	ANKS1A			23294			rs847845-?	rs847845	0	847845	intron_variant	0	NR	6E-6	5.221848749616356	(Dominant model)			Affymetrix [271817]	N	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	GCST001734	Genome-wide genotyping array
2013-01-25	23144319	Lee Y	2012-11-08	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/23144319	Prognostic implications of genetic variants in advanced non-small cell lung cancer: a genome-wide association study.	Non-small cell lung cancer	348 Korean ancestry cases	NA	14q24.3	14	74899026	DLST	DLST			1743			rs732765-G	rs732765	0	732765	intron_variant	0	0.257	7E-6	5.154901959985743	(Additive model)			Affymetrix [271817]	N	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	GCST001734	Genome-wide genotyping array
2013-01-25	23144319	Lee Y	2012-11-08	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/23144319	Prognostic implications of genetic variants in advanced non-small cell lung cancer: a genome-wide association study.	Non-small cell lung cancer	348 Korean ancestry cases	NA	2q22.1	2	137384594	THSD7B	THSD7B			80731			rs13405020-?	rs13405020	0	13405020	intron_variant	0	NR	7E-6	5.154901959985743	(Dominant model)			Affymetrix [271817]	N	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	GCST001734	Genome-wide genotyping array
2013-01-25	23144319	Lee Y	2012-11-08	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/23144319	Prognostic implications of genetic variants in advanced non-small cell lung cancer: a genome-wide association study.	Non-small cell lung cancer	348 Korean ancestry cases	NA	8q13.3	8	70255759	NCOA2	NCOA2			10499			rs2926702-T	rs2926702	0	2926702	intron_variant	0	0.572	7E-6	5.154901959985743	(Additive model)			Affymetrix [271817]	N	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	GCST001734	Genome-wide genotyping array
2013-01-25	23144319	Lee Y	2012-11-08	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/23144319	Prognostic implications of genetic variants in advanced non-small cell lung cancer: a genome-wide association study.	Non-small cell lung cancer	348 Korean ancestry cases	NA	16q21	16	61744191	CDH8	CDH8			1006			rs8048207-T	rs8048207	0	8048207	intron_variant	0	0.121	8E-6	5.096910013008056	(Additive model)			Affymetrix [271817]	N	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	GCST001734	Genome-wide genotyping array
2013-01-25	23144319	Lee Y	2012-11-08	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/23144319	Prognostic implications of genetic variants in advanced non-small cell lung cancer: a genome-wide association study.	Non-small cell lung cancer	348 Korean ancestry cases	NA	15q21.3	15	58382470	LIPC	LOC101928635			101928635			rs539901-G	rs539901	0	539901	intron_variant	0	0.109	8E-6	5.096910013008056	(Additive model)			Affymetrix [271817]	N	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	GCST001734	Genome-wide genotyping array
