"","enzyme_gene","class"
"1","ADH1A","Alcohol dehydrogenase"
"2","ADH1B","Alcohol dehydrogenase"
"3","ADH1G","Alcohol dehydrogenase"
"4","ADH4","Alcohol dehydrogenase"
"5","ADH6","Alcohol dehydrogenase"
"6","ADH7","Alcohol dehydrogenase"
"7","ADHX","Alcohol dehydrogenase"
"8","AK1A1","Alcohol dehydrogenase (NADP(+))"
"9","GPD1L","Glycerol-3-phosphate dehydrogenase (NAD(+))"
"10","GPDA","Glycerol-3-phosphate dehydrogenase (NAD(+))"
"11","DCXR","L-xylulose reductase"
"12","DHSO","L-iditol 2-dehydrogenase"
"13","ALDR","Aldehyde reductase"
"14","UGDH","UDP-glucose 6-dehydrogenase"
"15","LDH6A","L-lactate dehydrogenase"
"16","LDH6B","L-lactate dehydrogenase"
"17","LDHA","L-lactate dehydrogenase"
"18","LDHB","L-lactate dehydrogenase"
"19","LDHC","L-lactate dehydrogenase"
"20","BDH2","3-hydroxybutyrate dehydrogenase"
"21","BDH","3-hydroxybutyrate dehydrogenase"
"22","3HIDH","3-hydroxyisobutyrate dehydrogenase"
"23","HMDH","Hydroxymethylglutaryl-CoA reductase (NADPH)"
"24","ECHP","3-hydroxyacyl-CoA dehydrogenase"
"25","HCD2","3-hydroxyacyl-CoA dehydrogenase"
"26","HCDH","3-hydroxyacyl-CoA dehydrogenase"
"27","MDHC","Malate dehydrogenase"
"28","MDHM","Malate dehydrogenase"
"29","SERA","Malate dehydrogenase"
"30","MAOM","Malate dehydrogenase (oxaloacetate-decarboxylating)"
"31","MAON","Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))"
"32","MAOX","Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))"
"33","IDH3A","Isocitrate dehydrogenase (NAD(+))"
"34","IDHC","Isocitrate dehydrogenase (NADP(+))"
"35","IDHP","Isocitrate dehydrogenase (NADP(+))"
"36","6PGD","Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)"
"37","CRYL1","L-gulonate 3-dehydrogenase"
"38","G6PE","Glucose 1-dehydrogenase (NAD(P)(+))"
"39","G6PD","Glucose-6-phosphate dehydrogenase (NADP(+))"
"40","HCD2","3(or 17)-beta-hydroxysteroid dehydrogenase"
"41","AK1BF","17-beta-estradiol 17-dehydrogenase"
"42","DHB11","17-beta-estradiol 17-dehydrogenase"
"43","DHB12","17-beta-estradiol 17-dehydrogenase"
"44","DHB1","17-beta-estradiol 17-dehydrogenase"
"45","DHB2","17-beta-estradiol 17-dehydrogenase"
